Name,Type,Province,District,Category,Google_Search_Keyword
Sigiriya Rock Fortress,Attraction,Central,Matale,UNESCO Heritage Site,Sigiriya Sri Lanka UNESCO site
Dambulla Cave Temple,Attraction,Central,Matale,Buddhist Heritage Temple,Dambulla Cave Temple Sri Lanka
Temple of the Tooth Relic,Attraction,Central,Kandy,Religious Temple,Temple of the Tooth Kandy Sri Lanka
Peradeniya Botanical Garden,Attraction,Central,Kandy,Nature & Scenic,Peradeniya Botanical Garden Kandy
Kandy Lake,Attraction,Central,Kandy,Nature & Scenic,Kandy Lake Sri Lanka scenic spot
Knuckles Mountain Range,Attraction,Central,Matale,Adventure Hiking,Knuckles Mountain Range Sri Lanka hike
Horton Plains National Park,Attraction,Central,Nuwara Eliya,Nature & Wildlife,Horton Plains National Park Sri Lanka trekking
World's End Viewpoint,Attraction,Central,Nuwara Eliya,Scenic Viewpoint,World's End Horton Plains Sri Lanka
Gregory Lake,Attraction,Central,Nuwara Eliya,Nature & Scenic,Gregory Lake Nuwara Eliya Sri Lanka
Ramboda Falls,Attraction,Central,Nuwara Eliya,Waterfall,Ramboda Falls Sri Lanka waterfall
Galle Fort,Attraction,Southern,Galle,Historical Colonial Fort,Galle Fort Sri Lanka UNESCO site
Unawatuna Beach,Attraction,Southern,Galle,Beach & Leisure,Unawatuna Beach Sri Lanka
Mirissa Beach,Attraction,Southern,Matara,Beach & Whale Watching,Mirissa Beach Sri Lanka whale watching
Hikkaduwa Coral Reef,Attraction,Southern,Galle,Marine & Snorkeling,Hikkaduwa Coral Reef Sri Lanka snorkeling
Yala National Park Safari Entry,Attraction,Southern,Hambantota,Wildlife Safari,Yala National Park Safari Sri Lanka
Udawalawe National Park,Attraction,Southern,Monaragala,Wildlife Safari,Udawalawe National Park Sri Lanka
Weligama Bay,Attraction,Southern,Matara,Surf & Beach,Weligama Bay Sri Lanka surfing
Matara Paravi Duwa Temple,Attraction,Southern,Matara,Religious Temple,Matara Paravi Duwa Temple Sri Lanka
Tangalle Beach,Attraction,Southern,Hambantota,Beach & Leisure,Tangalle Beach Sri Lanka
