Name,Type,Province,District,Review_Author,Rating,User_Review,Photo_URL,Place_ID
Sigiriya Rock Fortress,Attraction,Central,Matale,Y S,5,"It’s my 2nd time visiting Sigiriya after 12 years. Still it is gorgeous and the forest around Sigiriya is really beautiful. I can say Sri Lanka is a beautiful land after I visit Sigiriya.
As a foreigner, we should pay $55 for adults and free for kids. There are some shops you can find beverages and suveniours like magnets at the exit. I recommend to visit Sigiriya museum before you go to Sigiriya as it‘s at the ticket office building (entrance fee is included in your ticket).",https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2fjkVFC55s8SrA1Y8ECdsERjVn7Dhm5zDVKgyIG-1vkGlRo44hB_xwWklAFLuG42K3ZqpkeqtFjFzU0X_Sh2Qu-SI892mVV0SN_8jYcfA9s6mIe53svtvaAWkLeyKFsXcWc5J6v9q_uyp3qabRk07n-JSoweV1uKNqR3xeGBV06FdhooGE8qhF6U0xMI_Ua9pGaJIQKatHap3EVXtUGF6CXzvj0cfeSo9BWwFJiBZRQ2XcEdwkFQsOz4fLYjkQmQJdE5gMYV-mTaAhauQq6E7-mW8r64J3YJ1EQ_oOjoz8xl4KHMqYAgjriO2cK7IYb-ivP4oQPW-gKdJp9CBbfUVC3f4FaCsqUSN_y2RQrCZUlKV_pkmvrtjDlTPNpaQONtSMfelBShbvAY5kP9ECiT2GyLb6OJjKxwuL9Qpi_2kUoKh_MEtc1kyP2-GIBt9jbfL-PbfBtk8rLtrLD-qyl1MkNjLMllmncrWggN1pg8AjxkJhZBvqQE6s8OmGJyD6yVdcaCSsxjobwZV2SyoWQC7WsAeJbdAE0nqAHSE9lDYHtk3ySshhaSeUGjz5rFw3O-JytvvjV&key=AIzaSyAd3zhAx9H5rTEZ7jtxkkXiTyN48qgdzGQ,ChIJs5pMcluh_DoRUg03WydxF6s
Sigiriya Rock Fortress,Attraction,Central,Matale,Himarsha Rajapaksha,5,"Sigiriya is one of the most fascinating and breathtaking historical sites in Sri Lanka. Climbing the ancient rock fortress is an unforgettable experience — every step reveals something amazing, from the beautiful water gardens and the impressive lion’s paw entrance to the world-famous Sigiriya frescoes painted centuries ago.

The view from the top is absolutely stunning, offering a 360° panorama of lush forests and villages below. You can really feel the history and brilliance of King Kashyapa’s era in the design and architecture of the place.

It’s best to visit early in the morning or late afternoon to avoid the midday heat. Make sure to wear comfortable shoes, bring water, and take your time exploring the site.

Overall, Sigiriya is a must-visit destination in Sri Lanka — a perfect combination of history, art, and natural beauty that leaves every visitor amazed.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2fjkVFC55s8SrA1Y8ECdsERjVn7Dhm5zDVKgyIG-1vkGlRo44hB_xwWklAFLuG42K3ZqpkeqtFjFzU0X_Sh2Qu-SI892mVV0SN_8jYcfA9s6mIe53svtvaAWkLeyKFsXcWc5J6v9q_uyp3qabRk07n-JSoweV1uKNqR3xeGBV06FdhooGE8qhF6U0xMI_Ua9pGaJIQKatHap3EVXtUGF6CXzvj0cfeSo9BWwFJiBZRQ2XcEdwkFQsOz4fLYjkQmQJdE5gMYV-mTaAhauQq6E7-mW8r64J3YJ1EQ_oOjoz8xl4KHMqYAgjriO2cK7IYb-ivP4oQPW-gKdJp9CBbfUVC3f4FaCsqUSN_y2RQrCZUlKV_pkmvrtjDlTPNpaQONtSMfelBShbvAY5kP9ECiT2GyLb6OJjKxwuL9Qpi_2kUoKh_MEtc1kyP2-GIBt9jbfL-PbfBtk8rLtrLD-qyl1MkNjLMllmncrWggN1pg8AjxkJhZBvqQE6s8OmGJyD6yVdcaCSsxjobwZV2SyoWQC7WsAeJbdAE0nqAHSE9lDYHtk3ySshhaSeUGjz5rFw3O-JytvvjV&key=AIzaSyAd3zhAx9H5rTEZ7jtxkkXiTyN48qgdzGQ,ChIJs5pMcluh_DoRUg03WydxF6s
Sigiriya Rock Fortress,Attraction,Central,Matale,Tanat Lertussavavivat,5,"Entrance fee for foreigner is 35 USD but cheaper when you pay with rupee (guess they use worst exchange rate). The climb is about 1,000 steps - some steep. View from above is good and you can see all the foundation of old palace. Some old rock painting. Will be very crowned during the daytime so go 5 am! Sunrise is waiting for you!",https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2fjkVFC55s8SrA1Y8ECdsERjVn7Dhm5zDVKgyIG-1vkGlRo44hB_xwWklAFLuG42K3ZqpkeqtFjFzU0X_Sh2Qu-SI892mVV0SN_8jYcfA9s6mIe53svtvaAWkLeyKFsXcWc5J6v9q_uyp3qabRk07n-JSoweV1uKNqR3xeGBV06FdhooGE8qhF6U0xMI_Ua9pGaJIQKatHap3EVXtUGF6CXzvj0cfeSo9BWwFJiBZRQ2XcEdwkFQsOz4fLYjkQmQJdE5gMYV-mTaAhauQq6E7-mW8r64J3YJ1EQ_oOjoz8xl4KHMqYAgjriO2cK7IYb-ivP4oQPW-gKdJp9CBbfUVC3f4FaCsqUSN_y2RQrCZUlKV_pkmvrtjDlTPNpaQONtSMfelBShbvAY5kP9ECiT2GyLb6OJjKxwuL9Qpi_2kUoKh_MEtc1kyP2-GIBt9jbfL-PbfBtk8rLtrLD-qyl1MkNjLMllmncrWggN1pg8AjxkJhZBvqQE6s8OmGJyD6yVdcaCSsxjobwZV2SyoWQC7WsAeJbdAE0nqAHSE9lDYHtk3ySshhaSeUGjz5rFw3O-JytvvjV&key=AIzaSyAd3zhAx9H5rTEZ7jtxkkXiTyN48qgdzGQ,ChIJs5pMcluh_DoRUg03WydxF6s
Sigiriya Rock Fortress,Attraction,Central,Matale,Hevage Plus,5,"Sigiriya is a highly valuable archaeological site that is not religious in nature. One little-known fact is that its most significant part is not the top of the rock, but the lower section. Even UNESCO has designated it as the ""Ancient City of Sigiriya."" What I observe is that many people overlook the most important areas of Sigiriya and simply climb to the top of the rock. However, no king ever lived on top of the Sigiriya rock; instead, it was used more like a rooftop — mainly for the king’s leisure and cultural activities.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2fjkVFC55s8SrA1Y8ECdsERjVn7Dhm5zDVKgyIG-1vkGlRo44hB_xwWklAFLuG42K3ZqpkeqtFjFzU0X_Sh2Qu-SI892mVV0SN_8jYcfA9s6mIe53svtvaAWkLeyKFsXcWc5J6v9q_uyp3qabRk07n-JSoweV1uKNqR3xeGBV06FdhooGE8qhF6U0xMI_Ua9pGaJIQKatHap3EVXtUGF6CXzvj0cfeSo9BWwFJiBZRQ2XcEdwkFQsOz4fLYjkQmQJdE5gMYV-mTaAhauQq6E7-mW8r64J3YJ1EQ_oOjoz8xl4KHMqYAgjriO2cK7IYb-ivP4oQPW-gKdJp9CBbfUVC3f4FaCsqUSN_y2RQrCZUlKV_pkmvrtjDlTPNpaQONtSMfelBShbvAY5kP9ECiT2GyLb6OJjKxwuL9Qpi_2kUoKh_MEtc1kyP2-GIBt9jbfL-PbfBtk8rLtrLD-qyl1MkNjLMllmncrWggN1pg8AjxkJhZBvqQE6s8OmGJyD6yVdcaCSsxjobwZV2SyoWQC7WsAeJbdAE0nqAHSE9lDYHtk3ySshhaSeUGjz5rFw3O-JytvvjV&key=AIzaSyAd3zhAx9H5rTEZ7jtxkkXiTyN48qgdzGQ,ChIJs5pMcluh_DoRUg03WydxF6s
Sigiriya Rock Fortress,Attraction,Central,Matale,Lukasz Kurowski,5,Magnificent place to visit. Tremendous views from the top. $35 per foreign adult. The hiking itself might be challenging if you not in shape. However we are in our 40s and slightly above average and did it from ticket office to the top in 30 minutes. Whole journey with stops for guide explanation 1h30min. Ask for legit guide by the entrance or deal with cheeky local as we did. He got $10 and 1000 rupee and was happy. Best time to start before 10am to avoid crowds.,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2fjkVFC55s8SrA1Y8ECdsERjVn7Dhm5zDVKgyIG-1vkGlRo44hB_xwWklAFLuG42K3ZqpkeqtFjFzU0X_Sh2Qu-SI892mVV0SN_8jYcfA9s6mIe53svtvaAWkLeyKFsXcWc5J6v9q_uyp3qabRk07n-JSoweV1uKNqR3xeGBV06FdhooGE8qhF6U0xMI_Ua9pGaJIQKatHap3EVXtUGF6CXzvj0cfeSo9BWwFJiBZRQ2XcEdwkFQsOz4fLYjkQmQJdE5gMYV-mTaAhauQq6E7-mW8r64J3YJ1EQ_oOjoz8xl4KHMqYAgjriO2cK7IYb-ivP4oQPW-gKdJp9CBbfUVC3f4FaCsqUSN_y2RQrCZUlKV_pkmvrtjDlTPNpaQONtSMfelBShbvAY5kP9ECiT2GyLb6OJjKxwuL9Qpi_2kUoKh_MEtc1kyP2-GIBt9jbfL-PbfBtk8rLtrLD-qyl1MkNjLMllmncrWggN1pg8AjxkJhZBvqQE6s8OmGJyD6yVdcaCSsxjobwZV2SyoWQC7WsAeJbdAE0nqAHSE9lDYHtk3ySshhaSeUGjz5rFw3O-JytvvjV&key=AIzaSyAd3zhAx9H5rTEZ7jtxkkXiTyN48qgdzGQ,ChIJs5pMcluh_DoRUg03WydxF6s
Dambulla Cave Temple,Attraction,Central,Matale,Nurseit Niyazbekov,4,"This is an active place of worship for Buddhist, so be considerate. The temple is under the UNESCO protection. The parking area for accessing the temple is not very obvious to visitors who are coming without a group. You have to buy a ticket at the parking lot and then climb about 200 to 300 stairs to access the cave on top of the mountain. You have to remove your shoes to access the temple. There are monkeys in the area. I have not seen a toilet near the temple, but there is one on the parking lot.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2dTJ--4ESnjPtrzvdoclYkEBHOeoAP3FMhX5o-IBjdgj737uWB_gC56bjw2XO8Nx_eK-UhsGDshgMG30nWMfnzO0DmmlAytElF6u_MqhEi8UoHfLtQS9sLVVviLdPIMXIWKyOyS4WMJ95Dd4DWV9YCL60z7V--DBKfkxGSdnVkIzVHbCEtRYffsj6P12MqqJsafp1Z2kgVlw1QVAGawbt4wAj1uIuv8ompOPlpt6ZtUEHYgt6wYJGlsAaVHtYxmMTxQZijQXdAYtnRmXIfQNAfUWFoC8PmuEMIycBXNLVUYsgzBH8yBaJq9uzYo3Op98h4HbgIur4QzsQ64lmRngqBqrR9uSeqePb2fUpWUTXqr-YGGzxA4wvOEAyL-69ZzaKR3bVSlDabz5TgCqsMPHJJ17OWdWs6EGGHO4JX8f61lM9ynhabvl-z0_EN55yzVc9ZhXt3zrxgtNxea7nTcbmUCraCXnjFbFLumj11wMf81cweX_VuMdRn5i84C-0j-_R69ZgMkKefKpyIn-zAsMYbX-bLkylSdZC5XLjlRAi1JUG9dP9CK_ZkIAQSYuObjzbFjRcTp&key=AIzaSyAd3zhAx9H5rTEZ7jtxkkXiTyN48qgdzGQ,ChIJaTa9xVil_DoRTHZrk8Cl2tE
Dambulla Cave Temple,Attraction,Central,Matale,Savindu Nirman,5,"Dambulla Cave Temple — also known as the Golden Temple of Dambulla — is one of Sri Lanka’s most magnificent and best-preserved cave temple complexes. Located in the Central Province of Sri Lanka, about 70 km north of Kandy, this UNESCO World Heritage Site dates back to the 1st century BCE. The temple complex consists of five main caves, each filled with ancient statues and vibrant murals depicting the life of the Buddha and various historical events.

Over 150 Buddha statues, along with statues of Sri Lankan kings and Hindu deities like Vishnu and Ganesh.

Beautiful murals covering over 2,000 square meters of cave walls and ceilings.

The Golden Temple with its massive golden Buddha statue at the base of the rock.

Stunning panoramic views of the surrounding countryside from the top of the hill.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2dTJ--4ESnjPtrzvdoclYkEBHOeoAP3FMhX5o-IBjdgj737uWB_gC56bjw2XO8Nx_eK-UhsGDshgMG30nWMfnzO0DmmlAytElF6u_MqhEi8UoHfLtQS9sLVVviLdPIMXIWKyOyS4WMJ95Dd4DWV9YCL60z7V--DBKfkxGSdnVkIzVHbCEtRYffsj6P12MqqJsafp1Z2kgVlw1QVAGawbt4wAj1uIuv8ompOPlpt6ZtUEHYgt6wYJGlsAaVHtYxmMTxQZijQXdAYtnRmXIfQNAfUWFoC8PmuEMIycBXNLVUYsgzBH8yBaJq9uzYo3Op98h4HbgIur4QzsQ64lmRngqBqrR9uSeqePb2fUpWUTXqr-YGGzxA4wvOEAyL-69ZzaKR3bVSlDabz5TgCqsMPHJJ17OWdWs6EGGHO4JX8f61lM9ynhabvl-z0_EN55yzVc9ZhXt3zrxgtNxea7nTcbmUCraCXnjFbFLumj11wMf81cweX_VuMdRn5i84C-0j-_R69ZgMkKefKpyIn-zAsMYbX-bLkylSdZC5XLjlRAi1JUG9dP9CK_ZkIAQSYuObjzbFjRcTp&key=AIzaSyAd3zhAx9H5rTEZ7jtxkkXiTyN48qgdzGQ,ChIJaTa9xVil_DoRTHZrk8Cl2tE
Dambulla Cave Temple,Attraction,Central,Matale,Margo Sukhytska,4,"is an impressive spot with a lot of history and religious importance. Be prepared for a bit of a climb — over 300 steps lead you to the top — and don’t forget that modest clothing is required (no bare shoulders, and legs should be covered below the knees).

At the top, you’ll find great views and caves filled with statues and centuries-old paintings that are still in good condition. The site is mainly dedicated to Buddhist figures, though you’ll notice some Hindu statues as well. The huge golden Buddha at the base is also quite a sight.

The only downside is that the caves have no real ventilation, so the air can feel heavy, especially when it’s crowded.

Overall, it’s worth seeing once for the cultural and spiritual value — especially if you’re into temples — but probably not a place you’d return to again and again.

In August 2025 the price is 3000 rupees",https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2dTJ--4ESnjPtrzvdoclYkEBHOeoAP3FMhX5o-IBjdgj737uWB_gC56bjw2XO8Nx_eK-UhsGDshgMG30nWMfnzO0DmmlAytElF6u_MqhEi8UoHfLtQS9sLVVviLdPIMXIWKyOyS4WMJ95Dd4DWV9YCL60z7V--DBKfkxGSdnVkIzVHbCEtRYffsj6P12MqqJsafp1Z2kgVlw1QVAGawbt4wAj1uIuv8ompOPlpt6ZtUEHYgt6wYJGlsAaVHtYxmMTxQZijQXdAYtnRmXIfQNAfUWFoC8PmuEMIycBXNLVUYsgzBH8yBaJq9uzYo3Op98h4HbgIur4QzsQ64lmRngqBqrR9uSeqePb2fUpWUTXqr-YGGzxA4wvOEAyL-69ZzaKR3bVSlDabz5TgCqsMPHJJ17OWdWs6EGGHO4JX8f61lM9ynhabvl-z0_EN55yzVc9ZhXt3zrxgtNxea7nTcbmUCraCXnjFbFLumj11wMf81cweX_VuMdRn5i84C-0j-_R69ZgMkKefKpyIn-zAsMYbX-bLkylSdZC5XLjlRAi1JUG9dP9CK_ZkIAQSYuObjzbFjRcTp&key=AIzaSyAd3zhAx9H5rTEZ7jtxkkXiTyN48qgdzGQ,ChIJaTa9xVil_DoRTHZrk8Cl2tE
Dambulla Cave Temple,Attraction,Central,Matale,Lukasz Kurowski,5,"Great place to visit, very interesting and beautiful temple. Nice views from the top. Long trousers and sleeves needed. 1500 rupees per foreign adult. If u arrive from the gold Buddha and stupa side you will need hike over the hill to ticket office (uncool when 35°C outside).",https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2dTJ--4ESnjPtrzvdoclYkEBHOeoAP3FMhX5o-IBjdgj737uWB_gC56bjw2XO8Nx_eK-UhsGDshgMG30nWMfnzO0DmmlAytElF6u_MqhEi8UoHfLtQS9sLVVviLdPIMXIWKyOyS4WMJ95Dd4DWV9YCL60z7V--DBKfkxGSdnVkIzVHbCEtRYffsj6P12MqqJsafp1Z2kgVlw1QVAGawbt4wAj1uIuv8ompOPlpt6ZtUEHYgt6wYJGlsAaVHtYxmMTxQZijQXdAYtnRmXIfQNAfUWFoC8PmuEMIycBXNLVUYsgzBH8yBaJq9uzYo3Op98h4HbgIur4QzsQ64lmRngqBqrR9uSeqePb2fUpWUTXqr-YGGzxA4wvOEAyL-69ZzaKR3bVSlDabz5TgCqsMPHJJ17OWdWs6EGGHO4JX8f61lM9ynhabvl-z0_EN55yzVc9ZhXt3zrxgtNxea7nTcbmUCraCXnjFbFLumj11wMf81cweX_VuMdRn5i84C-0j-_R69ZgMkKefKpyIn-zAsMYbX-bLkylSdZC5XLjlRAi1JUG9dP9CK_ZkIAQSYuObjzbFjRcTp&key=AIzaSyAd3zhAx9H5rTEZ7jtxkkXiTyN48qgdzGQ,ChIJaTa9xVil_DoRTHZrk8Cl2tE
Dambulla Cave Temple,Attraction,Central,Matale,Saarangi Balasingam,4,"The Dambulla Royal Cave Temple and Golden Temple is a fascinating historic and religious site worth visiting. Be prepared for a climb — there are over 300 steps to reach the top, and it can get busy with tourists, so an early visit is ideal. As this is a sacred Buddhist site, a modest dress code is enforced: legs must be covered below the knee, and no bare shoulders are allowed.

Once you reach the top, you’re rewarded with beautiful panoramic views of the surrounding area. Inside the caves, the statues and wall paintings are remarkably well preserved, showcasing centuries of artistry and devotion. While the majority of the site is dedicated to Buddhist figures, you will also spot a few statues of Hindu gods, adding a unique cultural touch. The Golden Temple at the base is equally striking, with its massive seated Buddha statue welcoming visitors.

Overall, it’s a place of spiritual significance, rich history, and stunning craftsmanship — a must-see when in the region.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2dTJ--4ESnjPtrzvdoclYkEBHOeoAP3FMhX5o-IBjdgj737uWB_gC56bjw2XO8Nx_eK-UhsGDshgMG30nWMfnzO0DmmlAytElF6u_MqhEi8UoHfLtQS9sLVVviLdPIMXIWKyOyS4WMJ95Dd4DWV9YCL60z7V--DBKfkxGSdnVkIzVHbCEtRYffsj6P12MqqJsafp1Z2kgVlw1QVAGawbt4wAj1uIuv8ompOPlpt6ZtUEHYgt6wYJGlsAaVHtYxmMTxQZijQXdAYtnRmXIfQNAfUWFoC8PmuEMIycBXNLVUYsgzBH8yBaJq9uzYo3Op98h4HbgIur4QzsQ64lmRngqBqrR9uSeqePb2fUpWUTXqr-YGGzxA4wvOEAyL-69ZzaKR3bVSlDabz5TgCqsMPHJJ17OWdWs6EGGHO4JX8f61lM9ynhabvl-z0_EN55yzVc9ZhXt3zrxgtNxea7nTcbmUCraCXnjFbFLumj11wMf81cweX_VuMdRn5i84C-0j-_R69ZgMkKefKpyIn-zAsMYbX-bLkylSdZC5XLjlRAi1JUG9dP9CK_ZkIAQSYuObjzbFjRcTp&key=AIzaSyAd3zhAx9H5rTEZ7jtxkkXiTyN48qgdzGQ,ChIJaTa9xVil_DoRTHZrk8Cl2tE
